# Identification List of Lines in Stellar Spectra (2951 A - 1.32 um)
 3436.045   FeI         614                1.      
 3436.112   FeII        91                 5.     
 3436.187   CrI   *  *  52                50.     
 3436.304   CeII        94                15.      
 3436.393   V II        79                 2.     
 3436.737   RuI         4                 30.      
 3437.006   IrI         3                 60.     
 3437.046   FeI         539                3.     
 3437.16    ZrII        33                10.     
 3437.162   N II        13                 6.     
 3437.280   NiI         3                 30.      
 3437.631   FeI         187                1.      
 3437.680   CoI         162                6.      
 3437.93    CrII        111                2.     
 3437.958   FeI         614                2.      
 3438.      O VI  P  P  7        
 3438.10    FeI   P  P  300                        
 3438.14    ArII        58               000.      
 3438.23    ZrII        1                100.     
 3438.24    HfII        77                15.     
 3438.306   FeI                            3.      
 3438.46    CrII        110                0.     
 3438.713   CoI         87                 4.     
 3438.97    NeII        45                 2.     
 3438.978   MnII        1                 20.     
 3439.050   FeI         299                1.      
 3439.208   GdII        23              3000.     
 3439.29    [NiII ]  F  5        
 3439.305   TiI         120                8.     
 3439.352   AlI         2                  8.     
 3439.40    ScI         21                 1.     
 3439.784   GdII        22              1500.     
 3439.831   CeII        197               60.     
 3439.990   GdII        7               6000.     
 3440.25    FeII  P  P  156        
 3440.3     [NiVII]  F  1        
 3440.39    O III       13                 4.     
 3440.502   SmII        54               100.     
 3440.589   NbII        6                200.     
 3440.610   FeI         6                150.            
 3440.74    FeI   P  P  301                        
 3440.80    NeII        45                 1.     
 3440.989   FeI         6                 75.            
 3440.99    [FeII ]  F  26        
 3440.999   EuII        13                80.     
 3441.115   CrI         52                 9.     
 3441.14    CrII  P  P  8        
 3441.210   CeII        45               150.     
 3441.40    PdI         10               300.     
 3441.439   CrI   *  *  52                35.     
 3441.505   TmII                         200.     
 3441.790   GdII        39               400.     
 3441.983   MnII        3                100.     
 3442.044   NiI         104                5.     
 3442.12    NeII        36                 1.     
 3442.239   FeII        89                 3.     
 3442.364   FeI         134                5.     
 3442.380   CeII        196               75.     
 3442.559   NiI         124                4.      
 3442.58    CrI         158                1.     
 3442.672   FeI         26                 3.     
 3442.79    FeII  P  P  76        
 3442.918   CoI         6                 40.      
 3442.979   FeI         499,776            1.      
 3442.98    CoI   P  P  42        
 3443.      N IV  P  P  7                        77.09  
 3443.203   CoI                            5.     
 3443.387   TiII        99                 1.     
 3443.57    ZrII        73                 7.     
 3443.609   CeIII       1                150.     
 3443.644   CoI         22                80.      
 3443.644   TiI         120                5.     
 3443.651   AlI         2                 10.     
 3443.70    NeII        42                 2.     
 3443.790   CrI         110               10.     
 3443.83    FeII  P  P  16        
 3443.878   FeI         6                 50.            
 3443.989   ScI         21                 1.     
 3444.1     [CoVI ]  F  2        
 3444.10    O III       15                 5.     
 3444.251   NiI         122                5.     
 3444.306   TiII        6                 30.     
 3444.34    CrII        111                4.     
 3444.403   TiI         120                3.     
 3444.76    FeII  P  P  145        
 3444.871   AlI         2                  7.     
 3444.899   TiI         46                         
 3445.      N IV  P  P  7        
 3445.04    CrII        110                5.     
 3445.10    CrI         51                 7.     
 3445.151   FeI         81                20.     
 3445.20    CrII  P  P  148        
 3445.566   TiI         46                 1.     
 3445.58    FeII  P  P  76        
 3445.618   CrI   *  *  51                40.     
 3445.9     [NaIV ]  F  1        
 3446.0     MnII  P  P  9        
 3446.085   MoII        1                  6.     
 3446.088   CoI         162               12.     
 3446.263   NiI         20               100.      
 3446.38    K I         4                  8.     4.32  
 3446.40    CoII        2                100.     
 3446.603   TiI         168                2.     
 3446.721   CeII        56                15.      
 3446.73    O III       25                 2.     
 3446.77    FeIII       88                         
 3446.791   FeI         244                1.      
 3446.947   FeI         26                 1.      
 3447.015   CrI         52                12.     
 3447.22    O III       25                 1.     
 3447.278   FeI         82                 8.     
 3447.281   CoI         161                3.     
 3447.36    ZrI         16               100.     
 3447.41    K I         4                  6.      
 3447.430   CrI         52                30.     
 3447.594   HeI         7                  2.      
 3447.760   CrI         52                20.     
 3447.98    O II        27                 5.     
 3448.05    O III P  P  25                         
 3448.19    FeI   P  P  186                        
 3448.255   TiI         46                 1.     
 3448.358   CoI         163                4.     
 3448.433   FeII        90                 1.     
 3448.478   FeI         444                1.      
 3448.503   ScI         21                 1.     
 3448.542   MoII        1                  2.     
 3448.63    FeIII P  P  27        
 3448.69    V II        118                1.     
 3448.786   FeI         372                1.      
 3448.82    Y II        17                10.     
 3448.869   FeI         242                1.      
 3448.967   IrI         1                 60.     
 3449.06    FeI   P  P  442                        
 3449.170   CoI         22                60.      
 3449.28    CrII        111                2.     
 3449.441   CoI         22                60.      
 3449.5     MnII  P  P  9        
 3449.616   GdII        7                800.     
 3449.874   TiI         46                 2.     
 3450.00    CrI   P  P  90        
 3450.14    FeI   P  P  242                        
 3450.328   FeI         82                10.     
 3450.376   GdII        22              4000.     
 3450.39    [FeII ]  F  27        
 3450.735   TiI         46                 1.     
 3450.84    CrII        60                 3.     
 3450.94    O III       25                 4.     
 3451.046   V II        118               12.     
 3451.228   FeII        208                2.     
 3451.233   GdII        22              2000.     
 3451.318   FeII                           2.     
 3451.33    O III       25                 1.     
 3451.41    B II        1                 10.    25.02  
 3451.614   FeII        207                2.     
 3451.628   FeI         139                2.     
 3451.66    FeI   P  P  241                        
 3451.88    ReI         2                600.     7.85  
 3451.914   GdII        70                25.     
 3451.915   FeI         81                10.     
 3452.18    CoI         160                2.      
 3452.18    LaII        30                40.     
 3452.273   FeI         25                10.     
 3452.30    [FeII ]  F  26        
 3452.31    FeIII P  P  49                         
 3452.33    FeII  P  P  89        
 3452.470   TiII        99                 4.     
 3452.54    [FeI  ]  F  10        
 3452.55    FeIII       88                         
 3452.670   AlI         2                  5.     
 3452.890   NiI         17                40.      
 3453.087   V II        132               90.     
 3453.10    NeII        21                 3.     
 3453.17    LaII        46                50.     
 3453.23    CrI         253               10.     
 3453.31    O II        71                 0.      
 3453.328   CrI         52                35.     
 3453.514   CoI         22               200.      
 3453.595   FeII                           2.     
 3453.654   TiI         46                         
 3453.665   TmII        7                200.     
 3453.743   CrI         52                12.     
 3453.78    V II        132                1.     
 3453.84    CrI   P  P  90        
 3454.      N IV  P  P  7        
 3454.10    ArII        44                 5.     
 3454.145   GdII        7               1500.     
 3454.16    NiII        1                  5.     
 3454.165   TiI         168                1.     
 3454.34    [FeI  ]  F  10        
 3454.35    FeIII       86                 2.     
 3454.368   CeIII       2                150.     
 3454.57    ZrII        59                 4.     
 3454.90    O III       25                 2.     
 3454.904   GdII        7               2000.     
 3454.98    CrII        136               35.     
 3455.04    MnI         41                 2.      
 3455.11    [FeII ]  F  26        
 3455.12    O III       25                 5.     
 3455.237   CoI         6                 25.      
